l	202-2	212-1	2220	2-13-3	203-2	213-1	2230	2-24-4	2-14-3	204-2	214-1	2240	302-2	312-1	3220	3321	3-13-3	303-2	313-1	3230	3331	3-24-4	3-14-3	304-2	314-1	3240	3341	402-2	412-1	4220	4321	4422	4-13-3	403-2	413-1	4230	4331	4432	4-24-4	4-14-3	404-2	414-1	4240	4341	4442
2	0.4622918839418331	0.5661896139437158	0.4622918839418331	0.6837389171198283	0.6837389171198283	0.5296218878317978	0.3057773395084062	0.5582704880755656	0.39475684785455606	0.25842901948509556	0.14920406396613095	0.06672608590949913	-0.3057773395084062	-0.5296218878317978	-0.6837389171198283	-0.6837389171198283	-0.0	0.0	-0.0	0.0	-0.0	0.5284436396808013	0.5908179503018387	0.5469911336958626	0.44661639046045243	0.3158054782836448	0.17297378423966014	0.06672608590949913	0.14920406396613095	0.25842901948509556	0.39475684785455606	0.5582704880755656	-0.17297378423966014	-0.3158054782836448	-0.44661639046045243	-0.5469911336958626	-0.5908179503018387	-0.5284436396808013	-0.10894523006565383	-0.16341784509848079	-0.19532168373748054	-0.20588713234316935	-0.19532168373748054	-0.16341784509848079	-0.10894523006565383
3	-0.13674778342396568	0.0	0.13674778342396568	-0.26967026563273605	0.0	0.2088856895525834	0.24120041818608925	-0.2642218198404008	0.0934165202732988	0.24462187160672497	0.24715688098817226	0.15790273914182243	0.24120041818608925	0.2088856895525834	0.0	-0.26967026563273605	0.20180274827960354	0.14269609177058953	0.0	-0.14269609177058953	-0.20180274827960354	-0.07105260757325381	-0.03177569210248238	0.014709287216331059	0.048040330880072875	0.0594468765375538	0.04651485036120403	-0.15790273914182243	-0.24715688098817226	-0.24462187160672497	-0.0934165202732988	0.2642218198404008	0.04651485036120403	0.0594468765375538	0.048040330880072875	0.014709287216331059	-0.03177569210248238	-0.07105260757325381	0.20947181874337914	0.20947181874337914	0.12518335530569763	0.0	-0.12518335530569763	-0.20947181874337914	-0.20947181874337914
4	0.017228601299006375	-0.02813418810961137	0.017228601299006375	0.061155467901681235	-0.0815406238689083	-0.026317123190303736	0.09116518894931043	0.08170892254924039	-0.14444233304503573	-0.05043184188456362	0.09826932652126238	0.1464912628031104	-0.09116518894931043	0.026317123190303736	0.0815406238689083	-0.061155467901681235	-0.145614514319236	0.03432167017143913	0.12532501976099608	0.03432167017143913	-0.145614514319236	-0.08056608413206891	0.03603024816005464	0.07227464388380508	0.027236307516413462	-0.048147444348345225	-0.0879048045193777	0.1464912628031104	0.09826932652126238	-0.05043184188456362	-0.14444233304503573	0.08170892254924039	0.0879048045193777	0.048147444348345225	-0.027236307516413462	-0.07227464388380508	-0.03603024816005464	0.08056608413206891	-0.07729899065661677	-0.025766330218872258	0.0338763205386688	0.058432544535346666	0.0338763205386688	-0.025766330218872258	-0.07729899065661677
5	-0.0	0.0	-0.0	-0.0061463557851060575	0.018439067355318174	-0.023804733595581377	0.013743669349396236	-0.015055435451113335	0.05322900250599293	-0.04878518663014135	-0.02816614063337824	0.06298140512005272	0.013743669349396236	-0.023804733595581377	0.018439067355318174	-0.0061463557851060575	0.04599511505016565	-0.06504691550685514	0.0	0.06504691550685514	-0.04599511505016565	0.054811789106518675	-0.08579402048739075	-0.011347118372503491	0.07411906683625025	0.03275630923445719	-0.08970684734163491	-0.06298140512005272	0.02816614063337824	0.04878518663014135	-0.05322900250599293	0.015055435451113335	-0.08970684734163491	0.03275630923445719	0.07411906683625025	-0.011347118372503491	-0.08579402048739075	0.054811789106518675	-0.03107536347650735	0.015537681738253675	0.02599951443081068	0.0	-0.02599951443081068	-0.015537681738253675	0.03107536347650735
6	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0012589987603171026	-0.00712197248740544	0.016318489010464177	-0.01884296804591889	0.010533539362132752	-0.0	0.0	-0.0	0.0	-0.005769457119008688	0.016318489010464184	-0.022345011338578472	0.016318489010464184	-0.005769457119008688	-0.014896674225718979	0.0433029690695897	-0.04317466369402872	-0.008812991322219717	0.049853807411838084	-0.034132568621227447	0.010533539362132752	-0.01884296804591889	0.016318489010464177	-0.00712197248740544	0.0012589987603171026	0.034132568621227447	-0.049853807411838084	0.008812991322219717	0.04317466369402872	-0.0433029690695897	0.014896674225718979	0.03716072991387248	-0.05574109487080872	0.0	0.04915902494487264	0.0	-0.05574109487080872	0.03716072991387248
7	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0016001594980135823	-0.007156130824800619	0.015459009426472126	-0.01893334251186597	0.013387894880667968	-0.00488856801576652	-0.0	0.0	-0.0	0.0	-0.0	-0.00488856801576652	0.013387894880667968	-0.01893334251186597	0.015459009426472126	-0.007156130824800619	0.0016001594980135823	-0.012700872269345678	0.033868992718255136	-0.03542104043292219	0.0	0.03542104043292219	-0.033868992718255136	0.012700872269345678
8	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0015907189466068063	-0.006362875786427225	0.01330890956076307	-0.016834586954080966	0.01330890956076307	-0.006362875786427225	0.0015907189466068063
9	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0
10	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0
11	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0
