l	2-22-1	2-120	2021	2122	2-23-1	2-130	2031	2132	2233	2-24-1	2-140	2041	2142	2243	3-32-2	3-22-1	3-120	3021	3122	3-33-2	3-23-1	3-130	3031	3132	3233	3-34-2	3-24-1	3-140	3041	3142	3243	3344	4-32-2	4-22-1	4-120	4021	4122	4-43-3	4-33-2	4-23-1	4-130	4031	4132	4233	4-44-3	4-34-2	4-24-1	4-140	4041	4142	4243	4344
2	-0.5661896139437158	-0.23114594197091656	0.23114594197091656	0.5661896139437158	0.5296218878317978	0.6115546790168124	0.43243446059915036	0.0	-0.6837389171198283	-0.14920406396613095	-0.26690434363799653	-0.365473824266603	-0.4220128216441705	-0.39475684785455606	-0.6837389171198283	-0.0	0.43243446059915036	0.6115546790168124	0.5296218878317978	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.3669328074100873	0.49431376197634447	0.4993323044675801	0.3867811398852618	0.1579027391418224	-0.1868330405465976	-0.6472086375185663	0.39475684785455606	0.4220128216441705	0.365473824266603	0.26690434363799653	0.14920406396613095	-0.6472086375185663	-0.1868330405465976	0.1579027391418224	0.3867811398852618	0.4993323044675801	0.49431376197634447	0.3669328074100873	0.2038178624144701	0.19258977739338093	0.1310257686950165	0.04603776236118222	-0.04603776236118222	-0.1310257686950165	-0.19258977739338093	-0.2038178624144701
3	0.10592437756635954	-0.0864868921198301	-0.0864868921198301	0.10592437756635954	-0.2642218198404008	-0.07627426940531411	0.16180215937964165	0.2088856895525834	-0.17055445132441477	0.22330819523022627	0.2496661522337901	0.13674778342396565	-0.07895136957091121	-0.29540897515091935	0.17055445132441477	-0.2088856895525834	-0.16180215937964165	0.07627426940531411	0.2642218198404008	-0.20180274827960354	-0.0	0.14269609177058953	0.14269609177058953	0.0	-0.20180274827960354	-0.06240622042252972	-0.048040330880072875	-0.008492410933936257	0.0328909661162849	0.05371072275471261	0.03177569210248238	-0.05503711316716461	-0.29540897515091935	-0.07895136957091121	0.13674778342396565	0.2496661522337901	0.22330819523022627	0.05503711316716461	-0.03177569210248238	-0.05371072275471261	-0.0328909661162849	0.008492410933936257	0.048040330880072875	0.06240622042252972	-0.24785039839936257	-0.09367864521614207	0.07081439954267502	0.1679510952690293	0.1679510952690293	0.07081439954267502	-0.09367864521614207	-0.24785039839936257
4	-0.009946937597742067	0.024364921617773542	-0.024364921617773542	0.009946937597742067	0.07443606507674207	-0.0644635233142103	-0.045582594474655215	0.0823856269960574	-0.02882896403994336	-0.15441534925737704	-0.034528321770886675	0.10716766400469768	0.09826932652126238	-0.12256338382386057	-0.02882896403994336	0.0823856269960574	-0.045582594474655215	-0.0644635233142103	0.07443606507674207	0.10853465084280939	-0.11209410538683669	-0.07674558760466475	0.07674558760466475	0.11209410538683669	-0.10853465084280939	-0.0879048045193777	-0.0	0.0645965751034728	0.050036291919557364	-0.027236307516413462	-0.08056608413206891	0.046514850361204015	0.12256338382386057	-0.09826932652126238	-0.10716766400469768	0.034528321770886675	0.15441534925737704	0.046514850361204015	-0.08056608413206891	-0.027236307516413462	0.050036291919557364	0.0645965751034728	0.0	-0.0879048045193777	0.06817130195790445	-0.025766330218872258	-0.058432544535346666	-0.027716989531638106	0.027716989531638106	0.058432544535346666	0.025766330218872258	-0.06817130195790445
5	-0.0	0.0	-0.0	0.0	-0.008997343588578963	0.020778474971430465	-0.022038900832520157	0.01138083945240898	-0.002323104125244826	0.05322900250599293	-0.047609467191162755	-0.026076779131401957	0.06022174180445334	-0.02816614063337824	0.002323104125244826	-0.01138083945240898	0.022038900832520157	-0.020778474971430465	0.008997343588578963	-0.02748733869879247	0.06387480300719152	-0.03887296718137513	-0.03887296718137513	0.06387480300719152	-0.02748733869879247	0.07192549028572084	-0.06921033529676122	-0.043066405726550384	0.05762025401888883	0.053237100977374247	-0.08056986755427542	0.02537292802965458	-0.02816614063337824	0.06022174180445334	-0.026076779131401957	-0.047609467191162755	0.05322900250599293	-0.02537292802965458	0.08056986755427542	-0.053237100977374247	-0.05762025401888883	0.043066405726550384	0.06921033529676122	-0.07192549028572084	0.021973600242075106	-0.029068340824639712	-0.010986800121037553	0.02084598754769539	0.02084598754769539	-0.010986800121037553	-0.029068340824639712	0.021973600242075106
6	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.007448337112859489	0.01665498810368834	-0.018244625358740593	0.010533539362132752	-0.0028152068116570057	0.0	-0.0	0.0	-0.0	0.0	0.002884728559504344	-0.011172505669289236	0.020398111263080228	-0.020398111263080228	0.011172505669289236	-0.002884728559504344	-0.02289682310512226	0.048471452272208455	-0.0311586296323988	-0.0241353707313851	0.04926611920399761	-0.02831347977627018	0.005769457119008687	0.0028152068116570057	-0.010533539362132752	0.018244625358740593	-0.01665498810368834	0.007448337112859489	0.005769457119008687	-0.02831347977627018	0.04926611920399761	-0.0241353707313851	-0.0311586296323988	0.048471452272208455	-0.02289682310512226	-0.02198458429686861	0.0540110468176037	-0.032976876445302915	-0.03476067989503808	0.03476067989503808	0.032976876445302915	-0.0540110468176037	0.02198458429686861
7	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.002822416059854595	-0.00977713603153304	0.017283697971200856	-0.017850526507557293	0.010931170395885202	-0.003695410067697913	0.0005333864993378607	0.0	-0.0	0.0	-0.0	0.0	-0.0005333864993378607	0.003695410067697913	-0.010931170395885202	0.017850526507557293	-0.017283697971200856	0.00977713603153304	-0.002822416059854595	0.006466967618471347	-0.024442840078832597	0.038801805710828086	-0.02045034722892425	-0.02045034722892425	0.038801805710828086	-0.024442840078832597	0.006466967618471347
8	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0007113911395419353	0.0037643280802456165	-0.009959475953587095	0.01574731415750632	-0.01574731415750632	0.009959475953587095	-0.0037643280802456165	0.0007113911395419353
9	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0
10	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0
11	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0
12	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0
13	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0
14	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0
15	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0
16	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0
17	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0
18	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0
19	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0
20	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0
