l	444-4
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.016759676964818386
9	-0.01664111160562405
10	0.010708218609450917
11	-0.005968224159690372
12	0.0033249722587049948
13	-0.0019016732458912462
14	0.0011224395739596225
15	-0.0006833549525435004
16	0.00042819991743092505
17	-0.0002754650325158668
18	0.0001814839984869469
19	-0.00012217591616035236
20	8.387573904306929e-05
