l	4-444
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.016759676964818334
9	0.016641111605624117
10	0.010708218609450962
11	0.005968224159690359
12	0.003324972258704992
13	0.0019016732458912353
14	0.0011224395739595993
15	0.0006833549525435135
16	0.0004281999174309569
17	0.0002754650325158775
18	0.00018148399848693633
19	0.0001221759161603338
20	8.387573904306716e-05
