l	2-221	2-122	2-231	2-132	2033	2-241	2-142	2043	2144	3-320	3-221	3-122	3-330	3-231	3-132	3033	3-340	3-241	3-142	3043	3144	4-42-1	4-320	4-221	4-122	4-43-1	4-330	4-231	4-132	4033	4-44-1	4-340	4-241	4-142	4043	4144
2	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0
3	0.13674778342396568	0.13674778342396568	-0.17055445132441477	-0.26967026563273605	-0.26967026563273605	0.08648689211983009	0.1834664037050437	0.28024956081989644	0.3236043187592833	0.26967026563273605	0.26967026563273605	0.17055445132441477	-0.14269609177058953	-0.20180274827960354	-0.20180274827960354	-0.14269609177058953	-0.02547723280180877	-0.04651485036120403	-0.06240622042252972	-0.06740642208768335	-0.05503711316716461	0.3236043187592833	0.28024956081989644	0.1834664037050437	0.08648689211983009	0.05503711316716461	0.06740642208768335	0.06240622042252972	0.04651485036120403	0.02547723280180877	-0.12093861093913046	-0.19122073381230367	-0.22855249175038203	-0.22855249175038203	-0.19122073381230367	-0.12093861093913046
4	-0.026317123190303743	0.026317123190303743	0.09846965838363977	0.031138840091099605	-0.09341652027329883	-0.12256338382386057	-0.14444233304503573	-0.04412786164899316	0.1528633968108526	-0.09341652027329883	0.031138840091099605	0.09846965838363977	0.15728165153792778	0.07414328157245888	-0.07414328157245888	-0.15728165153792778	-0.07354643608165527	-0.08056608413206891	-0.03603024816005464	0.038917115937433515	0.09532707630744713	-0.1528633968108526	0.04412786164899316	0.14444233304503573	0.12256338382386057	0.09532707630744713	0.038917115937433515	-0.03603024816005464	-0.08056608413206891	-0.07354643608165527	0.06817130195790445	0.06467297557382225	0.025766330218872258	-0.025766330218872258	-0.06467297557382225	-0.06817130195790445
5	-0.0	0.0	-0.019436483590687566	0.02458542314042423	-0.012292711570212115	0.06899267257524848	0.0	-0.06387480300719152	0.03687813471063634	0.012292711570212115	-0.02458542314042423	0.019436483590687566	-0.06504691550685514	0.04599511505016565	0.04599511505016565	-0.06504691550685514	0.09826892770337158	0.01794136946832698	-0.07221261913311311	-0.05199902886162137	0.08491405855415197	0.03687813471063634	-0.06387480300719152	-0.0	0.06899267257524848	-0.08491405855415197	0.05199902886162137	0.07221261913311311	-0.01794136946832698	-0.09826892770337158	0.03588273893665396	0.005673559186251745	-0.023734200896560167	-0.023734200896560167	0.005673559186251745	0.03588273893665396
6	0.0	-0.0	-0.0	0.0	-0.0	-0.014132226034439166	0.019985985724426007	-0.013083898917212717	0.0037769962809513073	0.0	-0.0	0.0	0.009992992862213005	-0.02119833905165875	0.02119833905165875	-0.009992992862213005	-0.04579364621024452	0.041803688366269805	0.01869517777943928	-0.051925114071078186	0.028264452068878333	-0.0037769962809513073	0.013083898917212717	-0.019985985724426007	0.014132226034439166	0.028264452068878333	-0.051925114071078186	0.01869517777943928	0.041803688366269805	-0.04579364621024452	-0.05255320823188204	0.04154695909046439	0.03476067989503808	-0.03476067989503808	-0.04154695909046439	0.05255320823188204
7	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.007729504713236063	-0.016934496359127568	0.01893334251186597	-0.011685912702242427	0.0035780654124003097	-0.0	0.0	-0.0	0.0	-0.0035780654124003097	0.011685912702242427	-0.01893334251186597	0.016934496359127568	-0.007729504713236063	0.021168120448909457	-0.0401636846420039	0.02240223297219015	0.02240223297219015	-0.0401636846420039	0.021168120448909457
8	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.003045994880605926	0.00963228156392737	-0.016117889897718323	0.016117889897718323	-0.00963228156392737	0.003045994880605926
9	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0
10	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0
11	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0
