l	224-4	333-3	324-4	334-3	442-2	433-3	443-2	424-4	434-3	444-2
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	0.015017716773804514	0.017769202118764173	-0.02369636049173853	-0.04445117516843425	0.015017716773804514	-0.01710314659088594	-0.04738044798331817	0.004066496268759151	0.030252956242723957	0.06672870180097444
7	-0.017334977350702805	-0.02051102180899652	0.0385226827652649	0.03841214521058449	-0.0173349773507028	0.03264011856608606	0.043521404470721184	-0.022430072231379408	-0.05278629196667356	-0.035655446737237396
8	0.012602867785980305	0.014911914263543104	-0.03728660222565367	-0.017210924335029316	0.012602867785980305	-0.03444546195010607	-0.02236105482851873	0.03913240629386741	0.040987481889766274	-0.0003568803004590663
9	-0.007807870078690289	-0.009238396464321601	0.027315642045632187	0.005795148222629556	-0.007807870078690289	0.02620759589070983	0.009637943811654231	-0.040739743829246215	-0.017315133714807043	0.006031049449905148
10	0.00480812614558378	0.005689051576896174	-0.018044064222104507	-0.0021565375436688413	0.0048081261455837805	-0.017550915212459186	-0.004712142085480198	0.03220831420243644	0.004789264833886892	-0.0030646362695483675
11	-0.0030274642280026434	-0.003582143982668744	0.011804791766917651	0.0008460631399738191	-0.003027464228002644	0.011562847616044968	0.002523784163757327	-0.022858735381796613	-0.0008901059213779073	0.0016965026522652422
12	0.0019601789257414205	0.0023193149827673487	-0.007827688779171846	-0.00033476345987886873	0.00196017892574142	-0.007699579317938695	-0.001449571151897547	0.01587410403511826	-0.0003092407197709579	-0.0010008090393668972
13	-0.0013046427706947753	-0.001543674143974885	0.005294727117831037	0.0001248605244240395	-0.0013046427706947753	0.0052225835709657515	0.0008799694580685087	-0.011059129223234388	0.000612995511224826	0.0006212216431147653
14	0.0008908370468467997	0.0010540526085773025	-0.003657435508851255	-3.666014995700056e-05	0.0008908370468467997	-0.003614685193855799	-0.0005587749254579611	0.0077963700016292605	-0.0006205771946948505	-0.0004019152994277121
15	-0.0006225681388243645	-0.0007366325559401572	0.0025782136167130784	3.799859309306276e-10	-0.0006225681388243651	0.002551769646809418	0.0003683166070475484	-0.005577697870747134	0.000540196190809001	0.00026914003989316496
16	0.0004442814315161997	0.0005256808789999092	-0.0018521794041244637	1.4198576128424495e-05	0.00044428143151619987	-0.0018352105581190443	-0.00025054411187517173	0.004051969597328008	-0.000444521771372947	-0.00018555907698788183
17	-0.00032307461775097257	-0.00038226704290183084	0.0013539838164958746	-1.8531981012714547e-05	-0.00032307461775097236	0.0013427438617428838	0.0001750843551114549	-0.00298789976958615	0.00035736486510089255	0.00013117502598501864
18	0.00023895418239434663	0.000282734401510058	-0.0010056992513951652	1.8623987286607266e-05	0.0002389541823943463	-0.000998044684212607	-0.00012523835464506785	0.002234713921757549	-0.0002847573355777186	-9.476665016012407e-05
19	-0.00017946736708984688	-0.00021234865243327142	0.000757966561278479	-1.702753487090258e-05	-0.00017946736708984663	0.0007526248447373247	9.14280484546079e-05	-0.0016937129796683057	0.0002265040908951404	6.978216451049343e-05
20	0.0001366771639031124	0.00016171860123571853	-0.0005789179636913917	1.489893865698522e-05	0.0001366771639031123	-0.0005751086063954589	-6.79564412514826e-05	0.0012996183866633073	-0.0001805275780935603	-5.225873123564376e-05
